Topic,Keywords,Num_Docs,Children,Parent,Level
48,"['basin', 0.032344967126846313), 'arc', 0.026957131922245026), 'continental', 0.017977407202124596), 'extensional', 0.0161814633756876), 'transtensional', 0.014385517686605453), 'earlystage', 0.012589572928845882), 'latestage', 0.010793628171086311), 'lowlying', 0.00899768341332674), 'uplift', 0.0072017391212284565), 'stepovers', 0.0072017391212284565)]",5,[],40,3
49,"['gold', 0.01845509745180607), 'device', 0.013642815873026848), 'charge', 0.01284076925367117), 'nanorods', 0.011236676014959812), 'conversion', 0.00963258184492588), 'metal', 0.008830535225570202), 'efficiency', 0.008830535225570202), 'nanoparticles', 0.008830535225570202), 'solar', 0.008830535225570202), 'surface', 0.008830535225570202)]",14,[],16,3
50,"['hydrothermal', 0.02085570991039276), 'vent', 0.01604655385017395), 'membrane', 0.011237396858632565), 'mackinawite', 0.009634343907237053), 'atp', 0.008031291887164116), 'growth', 0.008031291887164116), 'life', 0.008031291887164116), 'silicate', 0.008031291887164116), 'iron', 0.008031291887164116), 'alkaline', 0.008031291887164116)]",5,[],22,3
51,"['caucasus', 0.027332985773682594), 'topography', 0.024850426241755486), 'lesser', 0.009955066256225109), 'greater', 0.007472505792975426), 'along-strike', 0.007472505792975426), 'disconnect', 0.00498994579538703), 'neighboring', 0.00498994579538703), 'thermochronologic', 0.00250738556496799), 'presenting', 0.00250738556496799), 'remotely-sensed', 0.00250738556496799)]",1,[],285,3
52,"['fishery', 0.038186755031347275), 'deforestation', 0.03273306414484978), 'certification', 0.017462724819779396), 'company', 0.016371985897421837), 'stock', 0.014190508984029293), 'sustainable', 0.014190508984029293), 'commitment', 0.013099770061671734), 'palm', 0.012009031139314175), 'global', 0.012009031139314175), 'forest', 0.012009031139314175)]",12,[],16,3
53,"['nanoparticles', 0.019351176917552948), 'aggregation', 0.015482231043279171), 'particle', 0.01354775857180357), 'water', 0.012902934104204178), 'selfing', 0.012258109636604786), 'natural', 0.012258109636604786), 'nom', 0.012258109636604786), 'effect', 0.010323637165129185), 'condition', 0.009678812697529793), 'ionic', 0.0090339882299304)]",15,[],16,3
54,"['imagens', 0.012153048999607563), 'classifica', 0.010419376194477081), 'foi', 0.008685702458024025), 'com', 0.008685702458024025), 'todo', 0.006952029652893543), 'soja', 0.006952029652893543), 'foram', 0.006952029652893543), 'todos', 0.006952029652893543), 'valores', 0.005218355916440487), 'diferen', 0.005218355916440487)]",4,[],23,3
55,"['plant', 0.038442905992269516), 'acid', 0.01719164475798607), 'soil', 0.013753941282629967), 'leaf', 0.012191347777843475), 'metabolomics', 0.010628755204379559), 'response', 0.01031623687595129), 'cucumber', 0.010003718547523022), 'soybean', 0.009378681890666485), 'antioxidant', 0.009378681890666485), 'metabolite', 0.009066163562238216)]",27,[],16,3
56,"['ice', 0.01329684816300869), 'southern', 0.01329684816300869), 'warming', 0.011968491598963737), 'rakaia', 0.011968491598963737), 'glacial', 0.010640135034918785), 'last', 0.010640135034918785), 'glaciation', 0.010640135034918785), 'valley', 0.010640135034918785), 'temperature', 0.010640135034918785), 'atmospheric', 0.009311778470873833)]",5,[],16,3
57,"['gene', 0.02939039282500744), 'expression', 0.018568050116300583), 'ammonia', 0.01702200062572956), 'transcript', 0.01238385308533907), 'str', 0.0092917550355196), 'brevis', 0.0092917550355196), 'marine', 0.0092917550355196), 'transcriptome', 0.007745706010609865), 'thaumarchaea', 0.007745706010609865), 'oxidation', 0.007745706010609865)]",3,[],16,3
