id,Name,PI_primary_dept,PI_scholar_url,PI_scholar_keywords
162,Tihomir Kostadinov,ERI,https://scholar.google.com/citations?user=IWOhrsgAAAAJ&view_op=list_works&sortby=pubdate,"Ocean Color Remote Sensing, Snow Remote Sensing, Astronomy/Milankovitch cycles, Earth System Science, Climate Science"
132,Chandra Krintz,Computer Science,none,none
115,Werner Kuhn,Geography,https://scholar.google.com/citations?user=SQsXfZAAAAAJ&view_op=list_works&sortby=pubdate,"GIS, spatial information and computing, semantics of information, ontology, usability"
65,Armand Kuris,EEMB,https://scholar.google.com/citations?user=Fx4qe20AAAAJ&view_op=list_works&sortby=pubdate,"parasite ecology, marine ecology, disease ecology, crustacean biology, biological control"
67,Andrew Kylander-Clark,Earth Science,https://scholar.google.com/citations?user=RlddbsMAAAAJ&view_op=list_works&sortby=pubdate,
68,Phaedon Kyriakidis,Geography,https://scholar.google.com/citations?user=Z7cYMycAAAAJ&view_op=list_works&sortby=pubdate,"geoanalytics, geocomputation, geoinformatics, geostatistics, GIS"
69,Sotiria Lampoudi,ERI,none,none
70,Jim Langer,Physics,none,none
16,Ashley Larsen,Bren,https://scholar.google.com/citations?user=jycJQRMAAAAJ&view_op=list_works&sortby=pubdate,"Sustainable agriculture, Ecology, Global change, Land use, Applied econometrics"
71,Daniel Lavallee,ERI,none,none
39,David Lea,Earth Science,https://scholar.google.com/citations?user=lto7l1kAAAAJ&view_op=list_works&sortby=pubdate,"Climate Change, Paleoceanography, Geochemistry, Paleoclimate"
72,Ira Leifer,Marine Science Institute,https://scholar.google.com/citations?user=RLQzka0AAAAJ&view_op=list_works&sortby=pubdate,
73,Hunter Lenihan,Bren,https://scholar.google.com/citations?user=i7R7100AAAAJ&view_op=list_works&sortby=pubdate,Applied Marine Ecology and Fisheries Management
66,Jonathan Levine,EEMB,https://scholar.google.com/citations?user=nSlEGooAAAAJ&view_op=list_works&sortby=pubdate,Ecology
74,Marina Levy,ERI,https://scholar.google.com/citations?user=EAgdP-8AAAAJ&view_op=list_works&sortby=pubdate,"Oceanography, Climate, Ecology"
18,Gary Libecap,Bren,https://scholar.google.com/citations?user=SxcotMcAAAAJ&view_op=list_works&sortby=pubdate,
40,Lorraine Lisiecki,Earth Science,https://scholar.google.com/citations?user=McNJSi4AAAAJ&view_op=list_works&sortby=pubdate,"paleoclimate, paleoceanography, glacial cycles"
117,Hugo Loaiciga,Geography,https://scholar.google.com/citations?user=WQ9iC9kAAAAJ&view_op=list_works&sortby=pubdate,Hydrology and Water Resources
75,David Lopez-Carr,Geography,https://scholar.google.com/citations?user=w_JW40AAAAAJ&view_op=list_works&sortby=pubdate,"population, health, environment"
76,Bruce Luyendyk,Earth Science,https://scholar.google.com/citations?user=7zp4a0gAAAAJ&view_op=list_works&sortby=pubdate,"marine geology, California geology, Antarctica, plate tectonics, paleoclimate"
41,Francis Macdonald,Earth Science,https://scholar.google.com/citations?user=fLRRRrcAAAAJ&view_op=list_works&sortby=pubdate,Geology
77,Sally MacIntyre,EEMB,https://scholar.google.com/citations?user=GPlRHI8AAAAJ&view_op=list_works&sortby=pubdate,"Limnology, Oceanography, Physical-Biological Coupling"
68,Bruce Mahall,EEMB,https://scholar.google.com/citations?user=6OtfsT0AAAAJ&view_op=list_works&sortby=pubdate,Plant Ecology
78,Stephane Maritorena,ERI,none,none
42,Robin Matoza,Earth Science,https://scholar.google.com/citations?user=HNKEI3MAAAAJ&view_op=list_works&sortby=pubdate,"Geophysics, Volcanology, Seismology, Acoustics, Infrasound"
79,James Mattinson,Earth Science,none,none
168,Marc Mayes,ERI,https://scholar.google.com/citations?user=KH-oS7MAAAAJ&view_op=list_works&sortby=pubdate,"Ecosystem science, remote sensing, biogeochemistry, hydrology, conservation science"
64,Susan J. Mazer,EEMB,https://scholar.google.com/citations?user=qbamjFYAAAAJ&view_op=list_works&sortby=pubdate,"Adaptive evolution, Quantitative genetics, Phenological responses to climate change, Phenotypic plasticity and G x E, Life histo"
69,Douglas McCauley,EEMB,https://scholar.google.com/citations?user=HYXM3_sAAAAJ&view_op=list_works&sortby=pubdate,
81,Joseph McFadden,Geography,none,none
82,Jay Means,Bren,https://scholar.google.com/citations?user=XTMiJv0AAAAJ&view_op=list_works&sortby=pubdate,Environmental chemistry and toxicology
19,John Melack,Bren,https://scholar.google.com/citations?user=Vvo98qYAAAAJ&view_op=list_works&sortby=pubdate,Limnology
2,Kyle C. Meng,Bren,https://scholar.google.com/citations?user=BV2TtRkAAAAJ&view_op=list_works&sortby=pubdate,"environmental economics, climate change, political economy"
85,Joel Michaelsen,Geography,none,none
84,Katerina Michalides,ERI,https://scholar.google.com/citations?user=SW4AbDkAAAAJ&view_op=list_works&sortby=pubdate,
86,Robert Miller,Marine Science Institute,https://scholar.google.com/citations?user=RpbG49IAAAAJ&view_op=list_works&sortby=pubdate,Marine Ecology
70,Holly Moeller,EEMB,https://scholar.google.com/citations?user=hcuuM8gAAAAJ&view_op=list_works&sortby=pubdate,"Theoretical Ecology, Acquired Metabolic Potential, Bioeconomics, Community Ecology, Ecosystem Dynamics"
87,Nicole Molinari,EEMB,https://scholar.google.com/citations?user=wQihAKsAAAAJ&view_op=list_works&sortby=pubdate,"Plant Ecology, Fire Ecology, Community Ecology"
173,Noah Molotch,ERI,https://scholar.google.com/citations?user=kTk4Hg4AAAAJ&view_op=list_works&sortby=pubdate,"surface water and snow hydrology, ecohydrology, remote sensing"
121,Dan Montello,Geography,none,none
43,Kristin Morell,Earth Science,https://scholar.google.com/citations?user=d5_TSk8AAAAJ&view_op=list_works&sortby=pubdate,"Geology, Active tectonics, tectonic geomorphology, landscape evolution"
174,Max Moritz,UC ANR,https://scholar.google.com/citations?user=A_0DKxMAAAAJ&view_op=list_works&sortby=pubdate,"Biogeography, Climate Change, Fire Ecology & Managment, Pyrogeography"
122,Alan Murray,Geography,https://scholar.google.com/citations?user=Raj7sewAAAAJ&view_op=list_works&sortby=pubdate,"GIScience, location modeling, spatial optimization, regional science, spatial data science"
175,Jan Myers,CCBER,none,none
176,Norman Nelson,ERI,none,none
88,Craig Nelson,EEMB,https://scholar.google.com/citations?user=nIXTkhsAAAAJ&view_op=list_works&sortby=pubdate,"Microbial Ecology, Biogeochemistry, Ecosystem Science, Oceanography, Limnology"
123,Nick Nidzieko,Geography,https://scholar.google.com/citations?user=UmAJBOIAAAAJ&view_op=list_works&sortby=pubdate,"Coastal oceanography, autonomous platforms"
177,Ryan Niemeyer,ERI,https://scholar.google.com/citations?user=TH3el2wAAAAJ&view_op=list_works&sortby=pubdate,"Hydrology, Ecohydrology, Land Surface Hydrology, Interdisciplinary Natural Resource …"
90,Roger Nisbet,EEMB,https://scholar.google.com/citations?user=l_9TshUAAAAJ&view_op=list_works&sortby=pubdate,"Ecology, Environmental science"
178,Jesse Norris,,none,none
